sample_id;city;site_id;time;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket ;population_density;population_density_index;mean_wind_speed;wind_speed_mean_(km/h)_1;wind_speed_mean_(km/h)_2;wind_speed_mean_(km/h)_3;mean_temperature;temperature_(°C)_1;temperature_(°C)_2;temperature_(°C)_3;mean_relative_humidity;relative_humidity_(%)_1;relative_humidity_(%)_2;relative_humidity_(%)_3;time_beginning;time_end;date;latitude;longitude;bacterial_load;log_bacterial_load;fungal_load;log_fungal_load;control
22-S-MTL-11B;Montréal;11B;Spring;58368;2;0.340797229;2;12959.03209;5;4;0.5;6;5.5;11.8;10.6;12.2;12.6;27.2;27.1;28.7;25.9;8:49:00;9:49:00;2022-05-06;45.53339;-73.58411;1.94E+06;6.29E+00;1.25E-21;-20.90401167;FALSE
22-S-MTL-12B;Montréal;12B;Spring;20928;1;0.204384316;1;11333.10519;4;2.77;0.5;2.4;5.4;21.1;19.8;20.2;23.4;18.8;12.2;11.9;32.3;13:10:00;14:10:00;2022-05-06;45.5174;-73.5572;2.17E+05;5.34E+00;1.37E-07;-6.863660003;FALSE
22-S-MTL-12Cb;Montréal;12C;Spring;40064;2;0.187735527;1;10864.55304;4;0;0;0;0;16.9;18.1;16.2;16.3;63.1;56.1;66.6;66.6;19:04:00;20:04:00;2022-05-04;45.5148;-73.5603;4.03E+05;5.61E+00;2.25E-20;-19.64873723;FALSE
22-S-MTL-13A;Montréal;13A;Spring;28864;1;0.404581668;2;10626.45724;4;2.37;4.7;0.6;1.8;21.6;21.9;22.1;20.9;42.7;45.8;39.8;42.6;16:08:00;17:08:00;2022-05-03;45.50562;-73.62077;2.34E+06;6.37E+00;5.97E-11;-10.22408969;FALSE
22-S-MTL-14A;Montréal;14A;Spring;67008;2;0.462534911;3;7840.609116;3;5.93;4.2;2.5;11.1;22;22.8;21.7;21.5;31.2;29.3;41.3;23.1;15:14:00;16:14:00;2022-05-05;45.46289;-73.648;4.25E+05;5.63E+00;6.38E-07;-6.195137119;FALSE
22-S-MTL-15B;Montréal;15B;Spring;65312;2;0.430702709;2;4992.372255;2;3.73;5.8;2.4;3;19.7;17.5;22;19.6;25.9;28.3;24.7;24.6;11:44:00;12:44:00;2022-05-05;45.44524;-73.58264;4.63E+05;5.67E+00;7.76E-19;-18.11022;FALSE
22-S-MTL-16A;Montréal;16A;Spring;59776;2;0.218252209;1;7855.887991;3;4.4;2.8;7.5;2.9;20.1;20.4;20.2;19.6;23.7;22.7;23.9;24.4;13:17:00;14:17:00;2022-05-05;45.46145;-73.56328;4.82E+05;5.68E+00;1.72E-16;-15.76330406;FALSE
22-S-MTL-17C;Montréal;17C;Spring;115456;4;0.50822239;3;3877.014414;2;4.6;4.2;5;4.6;20.9;20.6;20.6;21.6;25.9;20.4;35.5;21.7;17:21:00;18:21:00;2022-05-05;45.44171;-73.70715;2.07E+06;6.32E+00;4.62E-20;-19.33580853;FALSE
22-S-MTL-18B;Montréal;18B;Spring;81664;3;0.49877877;3;3333.341128;2;0.83;2.5;0;0;17;18.9;16.6;15.4;30.7;30.4;30.4;31.2;19:18:00;20:18:00;2022-05-05;45.47554;-73.85316;2.09E+06;6.32E+00;0;#NOMBRE!;FALSE
22-S-MTL-19B;Montréal;19B;Spring;100352;4;0.593905243;3;706.6479473;1;4.5;2.6;2.6;8.3;18.5;18.2;18.3;19;22.7;23.3;23.1;21.6;10:57:00;11:57:00;2022-05-07;45.45884;-73.92196;1.98E+08;8.30E+00;0;#NOMBRE!;FALSE
