"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-01","2022","01","01","","3,6","","-2,9","","0,4","","17,6","","0,0","","","","","","1,4","","","","","M","","M"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-02","2022","01","02","","-0,3","","-19,9","","-10,1","","28,1","","0,0","","","","","","4,0","","","","30","","33",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-03","2022","01","03","","-15,5","","-26,1","","-20,8","","38,8","","0,0","","","","","","0,0","","","","","M","","M"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-04","2022","01","04","","-5,0","","-27,5","","-16,3","","34,3","","0,0","","","","","","0,0","","","","","M","","M"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-05","2022","01","05","","2,5","","-8,5","","-3,0","","21,0","","0,0","","","","","","0,0","","","","","M","","M"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-06","2022","01","06","","0,0","","-6,8","","-3,4","","21,4","","0,0","","","","","","0,0","","","","26","","52",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-07","2022","01","07","","-5,0","","-12,4","","-8,7","","26,7","","0,0","","","","","","0,2","","","","27","","45",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-08","2022","01","08","","-10,9","","-18,9","","-14,9","","32,9","","0,0","","","","","","0,0","","","","29","","42",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-09","2022","01","09","","1,7","","-10,9","","-4,6","","22,6","","0,0","","","","","","0,7","","","","27","","72",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-10","2022","01","10","","-5,8","","-21,4","","-13,6","","31,6","","0,0","","","","","","0,0","","","","27","","63",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-11","2022","01","11","","-21,0","","-27,9","","-24,5","","42,5","","0,0","","","","","","0,0","","","","","M","","M"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-12","2022","01","12","","-6,0","","-25,5","","-15,8","","33,8","","0,0","","","","","","0,2","","","","20","","32",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-13","2022","01","13","","-3,5","","-7,0","","-5,3","","23,3","","0,0","","","","","","0,7","","","","","M","","M"
"-71,69","45,44","SHERBROOKE","7028123","2022-01-14","2022","01","14","","-3,6","","-24,6","","-14,1","","32,1","","0,0","","","","","","0,4","","","","32","","35",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-15","2022","01","15","","-22,2","","-31,1","","-26,7","","44,7","","0,0","","","","","","","M","","","29","","42",""
"-71,69","45,44","SHERBROOKE","7028123","2022-01-16","2022","01","16","","-10,0","","-32,8","","-21,4","","39,4","","0,0","","","","","","0,0","","","","","M","","M"
