"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-71,20","46,84","BEAUPORT","7010565","2022-01-01","2022","01","01","","1,8","","-1,5","","0,1","","17,9","","0,0","","","","","","0,9","","","","","","",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-02","2022","01","02","","0,1","","-13,7","","-6,8","","24,8","","0,0","","","","","","2,6","","","","7","","40",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-03","2022","01","03","","-13,5","","-19,9","","-16,7","","34,7","","0,0","","","","","","0,2","","","","","","",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-04","2022","01","04","","-9,5","","-19,4","","-14,5","","32,5","","0,0","","","","","","0,9","","","","","","",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-05","2022","01","05","","-2,7","","-9,6","","-6,1","","24,1","","0,0","","","","","","0,3","","","","6","","41",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-06","2022","01","06","","-2,3","","-6,6","","-4,4","","22,4","","0,0","","","","","","5,6","","","","7","","32",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-07","2022","01","07","","-5,7","","-11,4","","-8,5","","26,5","","0,0","","","","","","1,1","","","","8","","39",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-08","2022","01","08","","-9,6","","-18,0","","-13,8","","31,8","","0,0","","","","","","0,2","","","","22","","46",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-09","2022","01","09","","-2,1","","-12,8","","-7,5","","25,5","","0,0","","","","","","2,2","","","","29","","46",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-10","2022","01","10","","-6,1","","-22,1","","-14,1","","32,1","","0,0","","","","","","0,0","","","","27","","52",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-11","2022","01","11","","-22,0","","-26,4","","-24,2","","42,2","","0,0","","","","","","0,2","","","","23","","38",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-12","2022","01","12","","-10,7","","-24,5","","-17,6","","35,6","","0,0","","","","","","2,3","","","","","","",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-13","2022","01","13","","-6,6","","-11,8","","-9,2","","27,2","","0,0","","","","","","0,9","","","","","","",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-14","2022","01","14","","-6,5","","-22,5","","-14,5","","32,5","","0,0","","","","","","0,4","","","","34","","35",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-15","2022","01","15","","-16,1","","-23,8","","-19,9","","37,9","","0,0","","","","","","0,0","","","","31","","40",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-16","2022","01","16","","-15,9","","-23,5","","-19,7","","37,7","","0,0","","","","","","0,0","","","","23","","32",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-17","2022","01","17","","-3,3","","-19,8","","-11,6","","29,6","","0,0","","","","","","5,8","","","","4","","74",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-18","2022","01","18","","-6,7","","-20,4","","-13,5","","31,5","","0,0","","","","","","0,0","","","","25","","45",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-19","2022","01","19","","-11,2","","-21,6","","-16,4","","34,4","","0,0","","","","","","6,2","","","","6","","36",""
"-71,20","46,84","BEAUPORT","7010565","2022-01-20","2022","01","20","","-9,9","","-21,0","","-15,4","","33,4","","0,0","","","","","","0,0","","","","27","","40",""
