site_id	Bacteria	Fungi	Pollen
01A	1829	439	52
02A	2106	427	89
03A	2342	461	80
04A	2033	371	77
05B	2014	369	93
06C	1736	320	100
07A	2036	423	96
08A	2159	333	77
09B	2227	520	98
10A	1840	379	48
11B	1956	433	85
12B	1961	411	77
12C	1976	441	91
13A	1882	377	65
14A	1664	317	97
15B	1590	288	105
16A	2084	447	102
17C	1743	359	103
18B	1984	328	99
19B	1753	403	42
20C	1743	189	74
21B	2308	457	84
22A	2409	449	116
23A	1887	339	116
24B	1348	329	85
