site_id	Bacteria	Fungi	Pollen
01A	127	109	15
02A	136	95	17
03A	136	124	19
04A	132	104	17
05B	138	106	20
06C	117	91	23
07A	127	108	28
08A	140	96	18
09B	130	120	19
10A	127	105	17
11B	125	96	24
12B	134	91	19
12C	133	96	25
13A	131	109	16
14A	121	96	26
15B	115	92	24
16A	130	109	21
17C	115	99	25
18B	130	90	25
19B	123	109	14
20C	126	51	17
21B	131	116	21
22A	135	112	28
23A	129	90	25
24B	120	80	20
