sample.namesTrnL
120min-avr-B-trnL
120min-avr-trnL
15min-oct-trnL
22-A-MTL-01A-trnL
22-A-MTL-02A-trnL
22-A-MTL-03A-trnL
22-A-MTL-04A-trnL
22-A-MTL-05B-trnL
22-A-MTL-06C-trnL
22-A-MTL-07A-trnL
22-A-MTL-08A-trnL
22-A-MTL-09B-trnL
22-A-MTL-10A-trnL
22-A-MTL-11B-trnL
22-A-MTL-12B-trnL
22-A-MTL-12C-trnL
22-A-MTL-13A-trnL
22-A-MTL-14A-trnL
22-A-MTL-15B-trnL
22-A-MTL-16A-trnL
22-A-MTL-17C-trnL
22-A-MTL-18B-trnL
22-A-MTL-19B-trnL
22-A-MTL-20C-trnL
22-A-MTL-21B-trnL
22-A-MTL-22A-trnL
22-A-MTL-23A-trnL
22-A-MTL-24B-trnL
22-A-QC-Q01-trnL
22-A-QC-Q02-trnL
22-A-QC-Q03-trnL
22-A-QC-Q04-trnL
22-A-QC-Q05-trnL
22-A-QC-Q06-trnL
22-A-QC-Q07-trnL
22-A-QC-Q08-trnL
22-A-QC-Q09-trnL
22-A-QC-Q10-trnL
22-A-QC-Q11-trnL
22-A-QC-Q12-trnL
22-A-QC-Q13-trnL
22-A-QC-Q14-trnL
22-A-QC-Q15-B-trnL
22-A-QC-Q15-trnL
22-A-QC-Q16-trnL
22-A-QC-Q17-trnL
22-A-QC-Q18-trnL
22-A-QC-Q19-trnL
22-A-QC-Q20-trnL
22-A-QC-Q21-trnL
22-A-QC-Q22-trnL
22-A-QC-Q23-trnL
22-A-QC-Q24-trnL
22-A-QC-Q25-trnL
22-A-SHER-SH01-trnL
22-A-SHER-SH02-trnL
22-A-SHER-SH03-trnL
22-A-SHER-SH04-trnL
22-A-SHER-SH05-trnL
22-A-SHER-SH06-trnL
22-A-SHER-SH07-trnL
22-A-SHER-SH08-trnL
22-A-SHER-SH09-trnL
22-A-SHER-SH10-trnL
22-A-SHER-SH11-trnL
22-A-SHER-SH12-trnL
22-A-SHER-SH13-trnL
22-A-SHER-SH14-trnL
22-A-SHER-SH15-trnL
22-E-MTL-02A-trnL
22-E-MTL-03A-trnL
22-E-MTL-07A-trnL
22-E-MTL-08A-trnL
22-E-MTL-09B-trnL
22-E-MTL-11B-trnL
22-E-MTL-12B-trnL
22-E-MTL-12C-trnL
22-E-MTL-16A-trnL
22-E-MTL-21B-trnL
22-E-MTL-22A-trnL
22-E-MTL-23A-B-trnL
22-E-MTL-23A-trnL
22-E-SHER-SH01-trnL
22-E-SHER-SH02-trnL
22-E-SHER-SH03-trnL
22-E-SHER-SH04-trnL
22-E-SHER-SH05-trnL
22-E-SHER-SH06-trnL
22-E-SHER-SH07-trnL
22-E-SHER-SH08-trnL
22-E-SHER-SH09-trnL
22-E-SHER-SH10-trnL
22-E-SHER-SH11-trnL
22-E-SHER-SH12-trnL
22-E-SHER-SH13-trnL
22-E-SHER-SH14-trnL
22-E-SHER-SH15-trnL
22-S-MTL-01A-trnL
22-S-MTL-02A-trnL
22-S-MTL-03A-trnL
22-S-MTL-04A-trnL
22-S-MTL-05B-trnL
22-S-MTL-06C-trnL
22-S-MTL-07A-trnL
22-S-MTL-08Ab-trnL
22-S-MTL-09B-trnL
22-S-MTL-10A-trnL
22-S-MTL-11B-trnL
22-S-MTL-12B-trnL
22-S-MTL-12Cb-trnL
22-S-MTL-13A-trnL
22-S-MTL-14A-trnL
22-S-MTL-15B-trnL
22-S-MTL-16A-trnL
22-S-MTL-17C-trnL
22-S-MTL-18B-trnL
22-S-MTL-19B-trnL
